text,intent_label
What should I eat during pregnancy?,general_pregnancy_education
Can you explain my ultrasound prediction results?,ml_result_explanation
What happens in the second trimester?,general_pregnancy_education
How do I read the AI's scan analysis?,ml_result_explanation
Is it safe to exercise while pregnant?,general_pregnancy_education
What does a low confidence score indicate?,ml_result_explanation
Pregnancy diet tips plz,general_pregnancy_education
Wat does the ML result mean?,ml_result_explanation
First trimester symptoms?,general_pregnancy_education
Explain the prediction from my scan.,ml_result_explanation
How much weight should I gain?,general_pregnancy_education
What is a confidence score?,ml_result_explanation
Can I drink coffee?,general_pregnancy_education
"The AI said 80% confidence, is that good?",ml_result_explanation
Vitamins needed for pregnancy?,general_pregnancy_education
How accurate is this prediction?,ml_result_explanation
What to avoid in third trimester?,general_pregnancy_education
Can you break down the analysis report?,ml_result_explanation
Prentnant and don't know what to eat,general_pregnancy_education
What does the AI mean by 'anomaly detected'?,ml_result_explanation
How does baby develop each month?,general_pregnancy_education
Is 95% confidence high?,ml_result_explanation
Safe medications during pregnancy?,general_pregnancy_education
What's the meaning of the prediction output?,ml_result_explanation
"Feeling tired all the time, normal?",general_pregnancy_education
How to interpret the scan results from AI?,ml_result_explanation
Best foods for baby brain development?,general_pregnancy_education
Can you explain the ML model's findings?,ml_result_explanation
What is gestational diabetes?,general_pregnancy_education
What does 'false positive' mean in my results?,ml_result_explanation
Excersize during pregnancy?,general_pregnancy_education
"The AI analysis shows something, what now?",ml_result_explanation
Morning sickness remedies?,general_pregnancy_education
How reliable is this AI prediction?,ml_result_explanation
What are pregnancy trimesters?,general_pregnancy_education
Explain the confidence level on my report.,ml_result_explanation
Can I travel while pregnant?,general_pregnancy_education
What does the algorithm say about my scan?,ml_result_explanation
Importance of folic acid?,general_pregnancy_education
Is the AI's result final?,ml_result_explanation
"Baby bump growing fast, normal?",general_pregnancy_education
Help me understand the prediction details.,ml_result_explanation
What to expect in labor?,general_pregnancy_education
What does a high confidence score imply?,ml_result_explanation
Pregnancy safe skincare?,general_pregnancy_education
Can you clarify the AI's assessment?,ml_result_explanation
How to sleep better while pregnant?,general_pregnancy_education
What is the AI's prediction based on?,ml_result_explanation
Is spotting normal?,general_pregnancy_education
How to read the AI-generated report?,ml_result_explanation
Prenatal yoga benefits?,general_pregnancy_education
What does 'inconclusive' mean in AI results?,ml_result_explanation
Food cravings meaning?,general_pregnancy_education
Explain the machine learning output to me.,ml_result_explanation
When does baby start kicking?,general_pregnancy_education
What is the significance of the prediction score?,ml_result_explanation
Can I dye my hair?,general_pregnancy_education
How does the AI interpret scans?,ml_result_explanation
What is preeclampsia?,general_pregnancy_education
What should I do with the AI analysis?,ml_result_explanation
How to count baby movements?,general_pregnancy_education
Can the AI's result be wrong?,ml_result_explanation
Pregnancy and dental care?,general_pregnancy_education
What do the percentages in the result mean?,ml_result_explanation
Best sleeping positions?,general_pregnancy_education
How to make sense of the AI's findings?,ml_result_explanation
What is a birth plan?,general_pregnancy_education
What is the AI's confidence in this prediction?,ml_result_explanation
Swimming during pregnancy?,general_pregnancy_education
Can you explain the prediction model's output?,ml_result_explanation
Signs of preterm labor?,general_pregnancy_education
What does the AI say about my ultrasound?,ml_result_explanation
How to deal with back pain?,general_pregnancy_education
How was this prediction generated?,ml_result_explanation
Pregnancy nutrition guide?,general_pregnancy_education
What do the technical terms in the result mean?,ml_result_explanation
Can I have seafood?,general_pregnancy_education
Is the AI's analysis trustworthy?,ml_result_explanation
What is lightening in pregnancy?,general_pregnancy_education
Help! What does this AI result mean for my baby?,ml_result_explanation
How to boost energy levels?,general_pregnancy_education
Explain the scan prediction in simple terms.,ml_result_explanation
